分数,人数,累计人数,分数,人数,累计人数
391,655,150943,391,655,150943
390,616,151559,390,616,151559
389,620,152179,389,620,152179
388,611,152790,388,611,152790
387,600,153390,387,600,153390
386,574,153964,386,574,153964
385,597,154561,385,597,154561
384,562,155123,384,562,155123
383,647,155770,383,647,155770
382,586,156356,382,586,156356
381,576,156932,381,576,156932
380,590,157522,380,590,157522
379,628,158150,379,628,158150
378,568,158718,378,568,158718
377,571,159289,377,571,159289
376,574,159863,376,574,159863
375,514,160377,375,514,160377
374,529,160906,374,529,160906
373,569,161475,373,569,161475
372,561,162036,372,561,162036
371,542,162578,371,542,162578
370,555,163133,370,555,163133
369,588,163721,369,588,163721
368,532,164253,368,532,164253
367,548,164801,367,548,164801
366,538,165339,366,538,165339
365,582,165921,365,582,165921
364,556,166477,364,556,166477
363,584,167061,363,584,167061
362,548,167609,362,548,167609
361,518,168127,361,518,168127
360,554,168681,360,554,168681
359,547,169228,359,547,169228
358,553,169781,358,553,169781
357,529,170310,357,529,170310
356,528,170838,356,528,170838
355,534,171372,355,534,171372
354,551,171923,354,551,171923
353,506,172429,353,506,172429
352,553,172982,352,553,172982
351,518,173500,351,518,173500
350,525,174025,350,525,174025
349,523,174548,349,523,174548
348,528,175076,348,528,175076
347,512,175588,347,512,175588
346,521,176109,346,521,176109
345,483,176592,345,483,176592
344,504,177096,344,504,177096
343,502,177598,343,502,177598
342,509,178107,342,509,178107
341,525,178632,341,525,178632
340,528,179160,340,528,179160
339,515,179675,339,515,179675
338,515,180190,338,515,180190
337,495,180685,337,495,180685
336,509,181194,336,509,181194
335,510,181704,335,510,181704
334,510,182214,334,510,182214
333,524,182738,333,524,182738
332,491,183229,332,491,183229
331,480,183709,331,480,183709
330,514,184223,330,514,184223
329,481,184704,329,481,184704
328,469,185173,328,469,185173
327,457,185630,327,457,185630
326,464,186094,326,464,186094
325,461,186555,325,461,186555
324,477,187032,324,477,187032
323,419,187451,323,419,187451
322,443,187894,322,443,187894
321,438,188332,321,438,188332
320,482,188814,320,482,188814
319,434,189248,319,434,189248
318,459,189707,318,459,189707
317,445,190152,317,445,190152
316,476,190628,316,476,190628
315,454,191082,315,454,191082
314,434,191516,314,434,191516
313,421,191937,313,421,191937
312,437,192374,312,437,192374
311,421,192795,311,421,192795
310,403,193198,310,403,193198
309,448,193646,309,448,193646
308,415,194061,308,415,194061
307,442,194503,307,442,194503
306,446,194949,306,446,194949
305,387,195336,305,387,195336
304,447,195783,304,447,195783
303,417,196200,303,417,196200
302,430,196630,302,430,196630
301,430,197060,301,430,197060
300,373,197433,300,373,197433
299,361,197794,299,361,197794
298,403,198197,298,403,198197
297,424,198621,297,424,198621
296,404,199025,296,404,199025
295,391,199416,295,391,199416
294,379,199795,294,379,199795
293,406,200201,293,406,200201
292,379,200580,292,379,200580
291,357,200937,291,357,200937
290,382,201319,290,382,201319
289,374,201693,289,374,201693
288,337,202030,288,337,202030
287,325,202355,287,325,202355
286,346,202701,286,346,202701
285,385,203086,285,385,203086
284,339,203425,284,339,203425
283,310,203735,283,310,203735
282,356,204091,282,356,204091
281,342,204433,281,342,204433
280,332,204765,280,332,204765
279,342,205107,279,342,205107
278,326,205433,278,326,205433
277,317,205750,277,317,205750
276,328,206078,276,328,206078
275,315,206393,275,315,206393
274,299,206692,274,299,206692
273,309,207001,273,309,207001
272,294,207295,272,294,207295
271,312,207607,271,312,207607
270,280,207887,270,280,207887
269,298,208185,269,298,208185
268,302,208487,268,302,208487
267,281,208768,267,281,208768
266,282,209050,266,282,209050
265,264,209314,265,264,209314
264,275,209589,264,275,209589
263,283,209872,263,283,209872
262,237,210109,262,237,210109
261,223,210332,261,223,210332
260,255,210587,260,255,210587
259,247,210834,259,247,210834
258,211,211045,258,211,211045
257,262,211307,257,262,211307
256,231,211538,256,231,211538
255,208,211746,255,208,211746
254,183,211929,254,183,211929
253,207,212136,253,207,212136
252,211,212347,252,211,212347
251,193,212540,251,193,212540
250,195,212735,250,195,212735
249,178,212913,249,178,212913
248,178,213091,248,178,213091
247,177,213268,247,177,213268
246,176,213444,246,176,213444
245,171,213615,245,171,213615
244,162,213777,244,162,213777
243,176,213953,243,176,213953
242,171,214124,242,171,214124
241,156,214280,241,156,214280
240,177,214457,240,177,214457
239,169,214626,239,169,214626
238,153,214779,238,153,214779
237,161,214940,237,161,214940
236,138,215078,236,138,215078
235,137,215215,235,137,215215
234,136,215351,234,136,215351
233,117,215468,233,117,215468
232,108,215576,232,108,215576
231,134,215710,231,134,215710
230,116,215826,230,116,215826
229,110,215936,229,110,215936
228,98,216034,228,98,216034
227,100,216134,227,100,216134
226,101,216235,226,101,216235
225,101,216336,225,101,216336
224,112,216448,224,112,216448
223,81,216529,223,81,216529
222,96,216625,222,96,216625
221,85,216710,221,85,216710
220,77,216787,220,77,216787
219,82,216869,219,82,216869
218,75,216944,218,75,216944
217,89,217033,217,89,217033
216,68,217101,216,68,217101
215,61,217162,215,61,217162
214,50,217212,214,50,217212
213,60,217272,213,60,217272
212,66,217338,212,66,217338
211,56,217394,211,56,217394
210,57,217451,210,57,217451
209,61,217512,209,61,217512
208,61,217573,208,61,217573
207,42,217615,207,42,217615
206,47,217662,206,47,217662
205,44,217706,205,44,217706
204,37,217743,204,37,217743
203,41,217784,203,41,217784
202,45,217829,202,45,217829
201,36,217865,201,36,217865
200,42,217907,200,42,217907
199,38,217945,199,38,217945
198,24,217969,198,24,217969
197,34,218003,197,34,218003
196,23,218026,196,23,218026
195,36,218062,195,36,218062
194,26,218088,194,26,218088
193,27,218115,193,27,218115
192,18,218133,192,18,218133
191,23,218156,191,23,218156
190,17,218173,190,17,218173
189,28,218201,189,28,218201
188,21,218222,188,21,218222
187,21,218243,187,21,218243
186,19,218262,186,19,218262
185,16,218278,185,16,218278
184,18,218296,184,18,218296
183,20,218316,183,20,218316
182,12,218328,182,12,218328
181,16,218344,181,16,218344
180,18,218362,180,18,218362
179,13,218375,179,13,218375
178,15,218390,178,15,218390
177,14,218404,177,14,218404
176,9,218413,176,9,218413
175,12,218425,175,12,218425
174,5,218430,174,5,218430
173,5,218435,173,5,218435
172,9,218444,172,9,218444
171,6,218450,171,6,218450
170,7,218457,170,7,218457
169,10,218467,169,10,218467
168,3,218470,168,3,218470
167,6,218476,167,6,218476
166,3,218479,166,3,218479
165,8,218487,165,8,218487
164,4,218491,164,4,218491
163,8,218499,163,8,218499
162,4,218503,162,4,218503
161,6,218509,161,6,218509
160,3,218512,160,3,218512
159,4,218516,159,4,218516
158,4,218520,158,4,218520
157,11,218531,157,11,218531
156,8,218539,156,8,218539
155,3,218542,155,3,218542
154,4,218546,154,4,218546
153,4,218550,153,4,218550
152,2,218552,152,2,218552
151,0,218557,151,0,218557
150,5,218557,150,5,218557
